Dataset,Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
prepended_v1_basic_clean,KNN,0.7494139601793093,0.7382961368109553,0.6354761904761904,0.6823447470096246,0.8022761830588934
prepended_v2_no_emojis_mentions,PassiveAggressive,0.7889613828217696,0.7635534946414625,0.7290782649693541,0.7454705679114254,0.8602414330218069
prepended_v2_no_emojis_mentions,LogisticRegression,0.790476675926634,0.7752039025956787,0.7136099324218137,0.7428933400220967,0.8574358403797656
prepended_v2_no_emojis_mentions,SVM,0.7889606748732063,0.774131766873047,0.7104345434543455,0.7406506057271675,0.8595692404687733
prepended_v2_no_emojis_mentions,NeuralNetwork,0.7911499350103218,0.7949548565724645,0.6846566085179946,0.7354053857693517,0.8527499629135142
prepended_v2_no_emojis_mentions,MultinomialNB,0.7958613326990114,0.8370278006107137,0.6445906019173345,0.7280910167682216,0.8585206200860407
prepended_v2_no_emojis_mentions,KNN,0.7494126858718954,0.7442761126485389,0.625156372780135,0.6789971112346123,0.7961087004895415
prepended_v3_lemmatized,PassiveAggressive,0.786100562677518,0.7574942636227713,0.7302703127455603,0.7433112301844517,0.8605473965287049
prepended_v3_lemmatized,LogisticRegression,0.7894664333268202,0.7708243560513324,0.717974225994028,0.743146573145243,0.8579439252336447
prepended_v3_lemmatized,SVM,0.7892977999790447,0.7726025748456731,0.7140028288543141,0.7418729949114462,0.8590732087227414
prepended_v3_lemmatized,NeuralNetwork,0.7926642369871975,0.8048784772293205,0.6751265126512653,0.7342381548835494,0.8562731790535528
prepended_v3_lemmatized,MultinomialNB,0.7926639538077721,0.838202813802571,0.6338818167531038,0.7216520470400918,0.8577455125352322
prepended_v3_lemmatized,KNN,0.7473937581591071,0.7543608769443313,0.6029467232437529,0.6688910616137747,0.7951824655095683
prepended_v4_stemmed,PassiveAggressive,0.7869413223912802,0.7584248835942227,0.7314600031431715,0.7444054635223936,0.8612650200267022
prepended_v4_stemmed,SVM,0.7913177188198214,0.7768367631086447,0.7132131070249883,0.7434873155407022,0.8598854027592346
prepended_v4_stemmed,LogisticRegression,0.7886246824850693,0.7673263800703612,0.7211496149614962,0.7431660989768589,0.8585743954902834
prepended_v4_stemmed,NeuralNetwork,0.7928313128481337,0.7978396789795392,0.6854416155901305,0.7371783920576084,0.8526998961578399
prepended_v4_stemmed,MultinomialNB,0.7882878405586563,0.7964343387923111,0.6731526009743831,0.7295262768524384,0.8490060821836523
prepended_v4_stemmed,KNN,0.7478971095876057,0.7774290619248257,0.5712124783906962,0.6574843503260223,0.7810552959501557
prepended_v5_lemma_stem,PassiveAggressive,0.7871100973287686,0.7589209801008401,0.7310647493320761,0.7444045091221334,0.8606901794985907
prepended_v5_lemma_stem,SVM,0.7909813016625463,0.7767270705890483,0.7124186704384725,0.7429904256644219,0.8593402314196706
prepended_v5_lemma_stem,LogisticRegression,0.7881193488005935,0.767213245571828,0.719959924563885,0.7424181829816947,0.8580829995549621
prepended_v5_lemma_stem,NeuralNetwork,0.788287982148369,0.8073101967772361,0.660054219707685,0.725216342606808,0.8471053997923157
prepended_v5_lemma_stem,MultinomialNB,0.792665652884324,0.8426090799128424,0.6287285871444287,0.7199501010038899,0.857133585521436
prepended_v5_lemma_stem,KNN,0.7477289010089683,0.7782729772663084,0.5696259625962596,0.6566975589328033,0.7800632324580923
prepended_v6_custom_stopwords,PassiveAggressive,0.7874469392551815,0.7595823284714547,0.7310655351249411,0.744703123731903,0.8590926791277258
prepended_v6_custom_stopwords,LogisticRegression,0.7898035584326586,0.7699284549025492,0.7203528209963854,0.7441084789412884,0.8555991321762351
prepended_v6_custom_stopwords,SVM,0.7879518481705193,0.770025872919487,0.7140059720257741,0.7406722579640651,0.8579068387479603
prepended_v6_custom_stopwords,NeuralNetwork,0.7886243993056441,0.7850365895147531,0.6917963224893918,0.7351403743921023,0.8528602952084259
prepended_v6_custom_stopwords,MultinomialNB,0.7909817264316843,0.8293411114957259,0.639042904290429,0.7216149411590246,0.8567543762053108
prepended_v6_custom_stopwords,KNN,0.7450375637507681,0.7933884412990989,0.5426276913405627,0.6425403145421598,0.7860823690847056
prepended_v7_lowercase_words_only,PassiveAggressive,0.7891295914004072,0.7636498363333295,0.7294743045733145,0.7457266616258496,0.8603193146417445
prepended_v7_lowercase_words_only,LogisticRegression,0.7906448845052714,0.7755621023863574,0.7136099324218137,0.7430443887984997,0.8574747811897344
prepended_v7_lowercase_words_only,SVM,0.7891290250415566,0.7742344061692347,0.7108313688511709,0.7409028579794197,0.8596879172229639
prepended_v7_lowercase_words_only,NeuralNetwork,0.7955257650800124,0.8180605943251125,0.6667994656608519,0.734509154251244,0.8524959204865746
prepended_v7_lowercase_words_only,MultinomialNB,0.7956929825306612,0.8376811248542342,0.6434016973125883,0.7275568011993059,0.8584928052217772
prepended_v7_lowercase_words_only,KNN,0.7495810360402455,0.7443937557529723,0.6255531981769605,0.6792808943572052,0.7959436656282453
prepended_v8_keep_hashtags,PassiveAggressive,0.786100562677518,0.7574942636227713,0.7302703127455603,0.7433112301844517,0.8605473965287049
prepended_v8_keep_hashtags,LogisticRegression,0.7894664333268202,0.7708243560513324,0.717974225994028,0.743146573145243,0.8579439252336447
prepended_v8_keep_hashtags,SVM,0.7892977999790447,0.7726025748456731,0.7140028288543141,0.7418729949114462,0.8590732087227414
prepended_v8_keep_hashtags,NeuralNetwork,0.7926642369871975,0.8048784772293205,0.6751265126512653,0.7342381548835494,0.8562731790535528
prepended_v8_keep_hashtags,MultinomialNB,0.7926639538077721,0.838202813802571,0.6338818167531038,0.7216520470400918,0.8577455125352322
prepended_v8_keep_hashtags,KNN,0.7473937581591071,0.7543608769443313,0.6029467232437529,0.6688910616137747,0.7951824655095683
prepended_v9_minimal_processing,PassiveAggressive,0.7877833564124564,0.7605084773144689,0.7302679553669653,0.7447880602408793,0.8601876576175642
prepended_v9_minimal_processing,SVM,0.7886258152027706,0.7730084279213798,0.7108329404369009,0.740376530531692,0.8590157246699304
prepended_v9_minimal_processing,LogisticRegression,0.7872785890868312,0.7688726504745524,0.7136060034574887,0.7399486865133118,0.856482717697671
prepended_v9_minimal_processing,NeuralNetwork,0.789132140015235,0.7805176766487365,0.7013217035989314,0.7384421332541903,0.853413811007269
prepended_v9_minimal_processing,MultinomialNB,0.7941792469126362,0.8328239182431181,0.6445929592959295,0.7264458689002962,0.8575545171339564
prepended_v9_minimal_processing,KNN,0.7489091928536841,0.739057294530052,0.6323023730944524,0.6807525979828595,0.8007083518765762
