Dataset,Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
kept_v7_lowercase_words_only,NeuralNetwork,0.7749397794382237,0.7668003951974224,0.6764093208909262,0.7185858092495142,0.8405816760419896
kept_v7_lowercase_words_only,LogisticRegression,0.7924066351981598,0.8547257145635789,0.616749694007219,0.7163438130384473,0.8615192821603107
kept_v7_lowercase_words_only,MultinomialNB,0.7893841062873512,0.8563942664024786,0.6064761325630892,0.7099815292338418,0.8581843985767226
kept_v7_lowercase_words_only,KNN,0.6781913369881958,0.8748558083089122,0.3127963452378168,0.4113441672899097,0.7502583750424473
kept_v8_keep_hashtags,SVM,0.7919028568606283,0.7842723915720177,0.7044632068043439,0.7421821598473747,0.8636637950126235
kept_v8_keep_hashtags,PassiveAggressive,0.7751065766356919,0.7410042341845254,0.7246088359800734,0.7326287521247943,0.8543567568764673
kept_v8_keep_hashtags,LogisticRegression,0.7945902391183173,0.8494300686269055,0.6286011647215661,0.7223896618008347,0.8635143065952073
kept_v8_keep_hashtags,NeuralNetwork,0.7762826238807866,0.7702739267707631,0.6752251093388217,0.7195813050378914,0.8465575216665928
kept_v8_keep_hashtags,MultinomialNB,0.7888799046066789,0.8567946928585755,0.6044998479781087,0.7087461774095358,0.8599192024331548
kept_v8_keep_hashtags,KNN,0.6807102286758533,0.8839021511173198,0.309635849100732,0.4116892461737941,0.7516646734877679
kept_v9_minimal_processing,SVM,0.7964705882352942,0.7913172746341172,0.7081822095253004,0.7473649783077883,0.8612521072400332
kept_v9_minimal_processing,PassiveAggressive,0.7843697478991596,0.7624232521924637,0.7160920439870073,0.7384676019817691,0.8526438468591033
kept_v9_minimal_processing,NeuralNetwork,0.782689075630252,0.7702642615819023,0.6967228896802723,0.7316023444643859,0.8468452398556725
kept_v9_minimal_processing,LogisticRegression,0.7954621848739495,0.8656994164046651,0.614467968535984,0.7185109422555988,0.8612705918017272
kept_v9_minimal_processing,MultinomialNB,0.7924369747899159,0.8591600566906583,0.6120979924079364,0.7147970170050592,0.8577086167632794
kept_v9_minimal_processing,KNN,0.7557983193277311,0.7942529028887323,0.5757453136618009,0.6666850476582408,0.8067513013131433
prepended_v1_basic_clean,SVM,0.7884571818549951,0.7720593293999121,0.7120226308345121,0.7405844912587255,0.8586532042723634
prepended_v1_basic_clean,PassiveAggressive,0.7861021201643574,0.7640495312464447,0.7175797579757976,0.7397820770252673,0.8512442515947188
prepended_v1_basic_clean,NeuralNetwork,0.7844177689425796,0.7762309053628392,0.692986798679868,0.7316288336310971,0.8405874499332442
prepended_v1_basic_clean,LogisticRegression,0.7882888316866449,0.8110804146707735,0.6537112997013989,0.7235624064187451,0.8565494733719032
